"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.blogger.com","30,617,950","100"
"2","youtube.com","23,184,662","100"
"3","www.google.com","14,725,970","100"
"4","linkedin.com","12,376,710","99"
"5","support.google.com","5,618,215","99"
"6","play.google.com","3,904,778","99"
"7","apple.com","6,626,575","99"
"8","microsoft.com","5,357,657","99"
"9","cloudflare.com","7,047,421","98"
"10","docs.google.com","3,426,015","98"
"11","youtu.be","5,263,911","98"
"12","wordpress.org","12,264,425","98"
"13","en.wikipedia.org","7,060,400","98"
"14","whatsapp.com","4,111,447","98"
"15","maps.google.com","5,972,109","98"
"16","sites.google.com","2,285,614","97"
"17","plus.google.com","10,900,882","97"
"18","adobe.com","2,873,159","97"
"19","drive.google.com","2,514,074","97"
"20","europa.eu","2,314,294","97"
"21","bp.blogspot.com","18,089,279","97"
"22","accounts.google.com","2,542,342","97"
"23","googleusercontent.com","3,589,575","97"
"24","mozilla.org","2,486,401","97"
"25","github.com","2,957,773","96"
"26","policies.google.com","3,083,922","96"
"27","uol.com.br","688,657","96"
"28","vk.com","1,817,290","96"
"29","istockphoto.com","3,669,737","96"
"30","facebook.com","59,505,375","96"
"31","vimeo.com","3,573,382","96"
"32","amazon.com","5,026,774","96"
"33","t.me","1,421,831","96"
"34","news.google.com","846,791","95"
"35","search.google.com","1,592,150","95"
"36","enable-javascript.com","9,313,154","95"
"37","globo.com","460,192","95"
"38","www.weebly.com","5,717,164","95"
"39","live.com","1,000,838","95"
"40","google.de","1,109,615","95"
"41","files.wordpress.com","7,664,474","95"
"42","paypal.com","1,158,243","95"
"43","dailymotion.com","1,132,992","95"
"44","google.es","480,605","95"
"45","bbc.co.uk","1,745,241","95"
"46","nih.gov","1,507,296","95"
"47","wikimedia.org","2,084,867","95"
"48","creativecommons.org","1,750,383","95"
"49","netvibes.com","1,229,775","95"
"50","who.int","2,028,662","95"
"51","feedburner.com","1,826,381","95"
"52","brandbucket.com","11,164,957","95"
"53","pt.wikipedia.org","421,422","95"
"54","theguardian.com","1,598,598","95"
"55","fr.wikipedia.org","646,274","95"
"56","ok.ru","371,018","95"
"57","nytimes.com","2,203,682","95"
"58","gstatic.com","632,196","95"
"59","msn.com","1,099,194","95"
"60","imdb.com","1,537,037","95"
"61","mail.google.com","656,576","95"
"62","developers.google.com","1,128,272","95"
"63","opera.com","989,416","95"
"64","tiktok.com","982,479","95"
"65","slideshare.net","1,004,273","95"
"66","draft.blogger.com","11,966,384","95"
"67","buydomains.com","1,215,046","95"
"68","tools.google.com","1,797,124","95"
"69","jimdofree.com","1,710,403","95"
"70","www.yahoo.com","1,345,118","95"
"71","medium.com","1,794,047","95"
"72","shopify.com","2,951,651","95"
"73","google.com.br","298,714","95"
"74","google.co.jp","657,068","95"
"75","cnn.com","1,662,356","95"
"76","myspace.com","1,372,122","95"
"77","line.me","992,263","95"
"78","es.wikipedia.org","974,607","95"
"79","forbes.com","1,457,275","95"
"80","dropbox.com","1,109,392","95"
"81","gravatar.com","12,568,059","95"
"82","marketingplatform.google....","901,067","94"
"83","mirror.co.uk","425,607","94"
"84","wsj.com","997,780","94"
"85","plesk.com","702,382","94"
"86","wp.com","2,194,714","94"
"87","namecheap.com","1,136,944","94"
"88","forms.gle","843,531","94"
"89","archive.org","1,239,498","94"
"90","t.co","2,213,336","94"
"91","amazon.es","196,997","94"
"92","dan.com","3,518,522","94"
"93","bbc.com","922,522","94"
"94","reuters.com","956,034","94"
"95","storage.googleapis.com","997,247","94"
"96","scribd.com","773,075","94"
"97","usatoday.com","890,156","94"
"98","booking.com","419,396","94"
"99","cpanel.net","1,897,617","94"
"100","de.wikipedia.org","680,039","94"
"101","nature.com","647,382","94"
"102","independent.co.uk","781,811","94"
"103","issuu.com","1,012,704","94"
"104","ig.com.br","157,918","94"
"105","huffingtonpost.com","1,076,466","94"
"106","networkadvertising.org","770,906","94"
"107","soundcloud.com","1,857,300","94"
"108","businessinsider.com","874,428","94"
"109","google.pl","198,758","94"
"110","4shared.com","562,495","94"
"111","office.com","686,347","94"
"112","amazon.co.uk","799,121","94"
"113","cbsnews.com","700,408","94"
"114","abril.com.br","276,514","94"
"115","foxnews.com","598,385","94"
"116","twitter.com","60,093,856","94"
"117","tinyurl.com","1,455,789","94"
"118","w3.org","1,129,702","94"
"119","estadao.com.br","136,387","94"
"120","pixabay.com","495,538","94"
"121","aliexpress.com","526,924","94"
"122","photos.google.com","278,456","94"
"123","hugedomains.com","16,178,741","94"
"124","amazon.de","563,614","94"
"125","change.org","506,788","94"
"126","fb.com","474,555","94"
"127","cdc.gov","925,615","94"
"128","bloomberg.com","879,941","94"
"129","bing.com","1,057,910","94"
"130","wa.me","1,599,918","94"
"131","indiatimes.com","498,728","94"
"132","picasaweb.google.com","629,117","94"
"133","huffpost.com","1,216,431","94"
"134","time.com","848,767","94"
"135","domainmarket.com","1,030,894","94"
"136","www.gov.uk","649,056","94"
"137","aboutads.info","671,868","94"
"138","myaccount.google.com","368,102","94"
"139","goo.gl","4,884,357","94"
"140","cnet.com","753,417","94"
"141","nasa.gov","695,430","94"
"142","it.wikipedia.org","343,919","94"
"143","planalto.gov.br","122,803","94"
"144","discord.com","453,548","94"
"145","ru.wikipedia.org","380,696","94"
"146","google.fr","417,936","94"
"147","wikia.com","506,212","94"
"148","telegram.me","409,504","94"
"149","get.google.com","637,963","94"
"150","pinterest.com","8,780,862","94"
"151","terra.com.br","200,132","94"
"152","telegraph.co.uk","1,009,781","94"
"153","hatena.ne.jp","1,576,981","94"
"154","mail.ru","484,135","94"
"155","mediafire.com","869,899","94"
"156","amazon.co.jp","872,786","94"
"157","washingtonpost.com","1,187,802","94"
"158","samsung.com","414,034","94"
"159","bit.ly","5,055,893","94"
"160","thesun.co.uk","429,020","94"
"161","ft.com","518,047","94"
"162","ytimg.com","1,012,633","94"
"163","abc.es","209,185","94"
"164","news.yahoo.com","698,993","94"
"165","yadi.sk","149,968","94"
"166","shutterstock.com","550,517","94"
"167","dailymail.co.uk","1,136,695","94"
"168","elpais.com","434,953","94"
"169","adssettings.google.com","436,738","94"
"170","instagram.com","28,528,554","94"
"171","researchgate.net","754,546","94"
"172","webmd.com","853,638","94"
"173","un.org","627,960","94"
"174","imageshack.us","811,732","94"
"175","youronlinechoices.com","585,125","94"
"176","google.it","441,893","94"
"177","fandom.com","645,676","94"
"178","list-manage.com","793,966","94"
"179","google.co.uk","602,495","94"
"180","afternic.com","3,324,581","94"
"181","www.livejournal.com","3,025,988","93"
"182","calendar.google.com","208,078","93"
"183","linktr.ee","543,289","93"
"184","google.ca","344,809","93"
"185","lemonde.fr","278,889","93"
"186","berkeley.edu","512,947","93"
"187","ted.com","651,170","93"
"188","www.over-blog.com","812,745","93"
"189","clarin.com","148,344","93"
"190","abcnews.go.com","595,002","93"
"191","smh.com.au","327,299","93"
"192","elmundo.es","244,451","93"
"193","playstation.com","259,363","93"
"194","offset.com","1,781,109","93"
"195","aol.com","683,942","93"
"196","akamaihd.net","595,879","93"
"197","finance.yahoo.com","505,971","93"
"198","ovh.com","595,591","93"
"199","canada.ca","301,710","93"
"200","zippyshare.com","192,600","93"
"201","freepik.com","365,976","93"
"202","engadget.com","452,322","93"
"203","e-monsite.com","147,390","93"
"204","groups.google.com","371,521","93"
"205","sciencedirect.com","704,210","93"
"206","mit.edu","736,527","93"
"207","doi.org","565,594","93"
"208","wired.com","706,518","93"
"209","rapidshare.com","288,934","93"
"210","gooyaabitemplates.com","573,218","93"
"211","yandex.com","1,546,929","93"
"212","ouest-france.fr","128,210","93"
"213","instructables.com","361,336","93"
"214","alexa.com","314,552","93"
"215","naver.com","534,706","93"
"216","doubleclick.net","573,919","93"
"217","statista.com","395,945","93"
"218","cpanel.com","1,005,788","93"
"219","gofundme.com","363,279","93"
"220","cornell.edu","484,760","93"
"221","espn.com","404,453","93"
"222","timeweb.ru","635,324","93"
"223","whitehouse.gov","417,476","93"
"224","alicdn.com","556,979","93"
"225","mashable.com","452,265","93"
"226","spiegel.de","373,978","93"
"227","20minutos.es","179,936","93"
"228","metro.co.uk","283,869","93"
"229","nationalgeographic.com","647,232","93"
"230","prezi.com","334,469","93"
"231","target.com","308,528","93"
"232","nikkei.com","256,342","93"
"233","springer.com","542,961","93"
"234","translate.google.com","298,983","93"
"235","steampowered.com","301,586","93"
"236","000webhost.com","248,918","93"
"237","cambridge.org","373,366","93"
"238","ea.com","229,951","93"
"239","taringa.net","132,684","93"
"240","ikea.com","378,109","93"
"241","qq.com","4,240,422","93"
"242","ca.gov","564,916","93"
"243","sfgate.com","397,178","93"
"244","pinterest.fr","130,309","93"
"245","akamaized.net","342,721","93"
"246","www.wikipedia.org","558,095","93"
"247","latimes.com","745,763","93"
"248","www.canalblog.com","411,067","93"
"249","photobucket.com","1,751,702","93"
"250","amazonaws.com","356,565","93"
"251","thetimes.co.uk","431,590","93"
"252","vice.com","421,815","93"
"253","gmail.com","216,415","93"
"254","cointernet.com.co","641,725","93"
"255","redbull.com","168,851","93"
"256","huawei.com","1,958,494","93"
"257","sapo.pt","234,857","93"
"258","netlify.app","412,079","93"
"259","economist.com","399,122","93"
"260","id.wikipedia.org","556,322","93"
"261","xinhuanet.com","586,868","93"
"262","hindustantimes.com","251,541","93"
"263","ovh.net","551,308","93"
"264","google.co.in","283,165","93"
"265","goodreads.com","928,623","93"
"266","bp2.blogger.com","559,250","93"
"267","newsweek.com","413,980","93"
"268","lavanguardia.com","158,046","93"
"269","theatlantic.com","592,624","93"
"270","mozilla.com","209,748","93"
"271","nypost.com","446,112","93"
"272","detik.com","406,832","93"
"273","weibo.com","1,392,291","93"
"274","gizmodo.com","414,478","93"
"275","quora.com","475,594","93"
"276","ibm.com","533,438","93"
"277","www.gov.br","171,016","93"
"278","unsplash.com","648,123","93"
"279","code.google.com","323,988","93"
"280","sputniknews.com","190,903","93"
"281","addtoany.com","711,755","93"
"282","pexels.com","369,442","93"
"283","dw.com","411,129","93"
"284","nydailynews.com","396,845","93"
"285","insider.com","394,542","93"
"286","sciencedaily.com","379,432","93"
"287","yandex.ru","1,046,112","93"
"288","nbcnews.com","715,623","93"
"289","windows.net","440,509","93"
"290","ggpht.com","791,557","93"
"291","amazon.it","161,339","93"
"292","privacyshield.gov","435,674","93"
"293","android.com","321,344","93"
"294","sakura.ne.jp","400,617","93"
"295","sedo.com","4,022,280","93"
"296","ziddu.com","191,962","93"
"297","amzn.to","1,008,199","93"
"298","rtve.es","194,886","93"
"299","leparisien.fr","148,569","93"
"300","icann.org","683,762","93"
"301","books.google.com","448,998","93"
"302","apache.org","1,031,286","93"
"303","bloglovin.com","555,148","93"
"304","xbox.com","205,969","93"
"305","hubspot.com","359,579","93"
"306","rakuten.co.jp","655,222","93"
"307","plos.org","328,826","93"
"308","spotify.com","1,671,722","93"
"309","cnil.fr","236,211","93"
"310","cbc.ca","506,317","93"
"311","pbs.org","556,087","93"
"312","rt.com","320,877","93"
"313","google.nl","268,188","93"
"314","nginx.com","856,723","93"
"315","kickstarter.com","496,299","93"
"316","tripadvisor.com","758,719","93"
"317","cnbc.com","600,692","93"
"318","npr.org","881,415","93"
"319","oracle.com","619,346","93"
"320","addthis.com","655,729","93"
"321","outlook.com","406,224","93"
"322","wiley.com","666,142","93"
"323","wiktionary.org","330,122","93"
"324","godaddy.com","2,618,651","93"
"325","ovhcloud.com","596,394","93"
"326","newyorker.com","445,209","93"
"327","yahoo.co.jp","666,522","93"
"328","britannica.com","551,593","93"
"329","standard.co.uk","269,373","93"
"330","liveinternet.ru","350,638","93"
"331","xing.com","503,829","93"
"332","buzzfeed.com","636,906","93"
"333","techcrunch.com","533,249","93"
"334","ebay.com","963,515","93"
"335","nginx.org","944,638","93"
"336","zoom.us","680,037","93"
"337","home.pl","210,840","93"
"338","sendspace.com","152,481","93"
"339","photos1.blogger.com","883,910","93"
"340","webnode.page","518,673","93"
"341","secureserver.net","976,818","93"
"342","surveymonkey.com","454,935","93"
"343","hp.com","494,420","93"
"344","ietf.org","399,258","93"
"345","oup.com","441,897","93"
"346","tmz.com","239,888","93"
"347","express.co.uk","393,409","93"
"348","m.wikipedia.org","341,972","93"
"349","guardian.co.uk","605,188","93"
"350","academia.edu","412,003","93"
"351","ria.ru","198,510","93"
"352","zendesk.com","532,614","93"
"353","bandcamp.com","631,858","93"
"354","ssl-images-amazon.com","583,723","93"
"355","ja.wikipedia.org","374,106","93"
"356","google.ru","202,014","93"
"357","walmart.com","371,020","93"
"358","abc.net.au","425,434","93"
"359","twitch.tv","498,716","93"
"360","francetvinfo.fr","179,472","93"
"361","rambler.ru","956,980","93"
"362","dreamstime.com","451,411","93"
"363","stanford.edu","662,979","93"
"364","wikihow.com","649,754","93"
"365","gnu.org","589,403","93"
"366","eventbrite.com","671,291","93"
"367","clickbank.net","481,202","93"
"368","disney.com","256,508","93"
"369","biglobe.ne.jp","270,502","93"
"370","harvard.edu","800,437","93"
"371","ipv4.google.com","332,337","93"
"372","welt.de","273,433","93"
"373","vkontakte.ru","351,340","93"
"374","skype.com","442,000","93"
"375","googleblog.com","271,018","93"
"376","psychologytoday.com","404,479","93"
"377","www.wix.com","745,976","93"
"378","ftc.gov","308,214","93"
"379","sky.com","245,325","93"
"380","thenai.org","524,826","93"
"381","pl.wikipedia.org","150,655","93"
"382","radiofrance.fr","132,071","93"
"383","disqus.com","942,441","93"
"384","yelp.com","967,463","93"
"385","amazon.fr","261,670","93"
"386","variety.com","322,357","93"
"387","search.yahoo.com","514,497","93"
"388","loc.gov","482,865","93"
"389","theverge.com","429,665","93"
"390","deezer.com","171,611","93"
"391","php.net","667,201","93"
"392","about.com","744,388","93"
"393","arxiv.org","269,628","93"
"394","discord.gg","407,270","93"
"395","netflix.com","389,296","93"
"396","alibaba.com","409,088","93"
"397","fb.me","347,768","93"
"398","unesco.org","353,783","93"
"399","mega.nz","195,899","93"
"400","usnews.com","478,168","93"
"401","imageshack.com","458,304","93"
"402","lefigaro.fr","231,320","93"
"403","reg.ru","483,690","93"
"404","zdf.de","144,654","93"
"405","picasa.google.com","257,989","93"
"406","themeforest.net","542,068","93"
"407","iso.org","223,873","92"
"408","abc.com","177,224","92"
"409","naver.jp","143,977","92"
"410","namesilo.com","360,080","92"
"411","blog.fc2.com","374,597","92"
"412","lg.com","150,329","92"
